City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Lebu,CL,-37.6167,-73.65,61.61,68,86,7.36,overcast clouds
146,Kruisfontein,ZA,-34.0033,24.7314,64.89,77,96,9.17,overcast clouds
147,Kolvereid,NO,64.8655,11.6047,35.24,57,100,5.93,overcast clouds
148,High Prairie,CA,55.4334,-116.4858,24.51,87,94,7.16,overcast clouds
149,Chapais,CA,49.7834,-74.8492,29.98,93,100,4.83,overcast clouds
150,Natal,BR,-5.795,-35.2094,80.82,89,75,5.75,light rain
151,Kralendijk,BQ,12.15,-68.2667,85.98,66,40,23.02,scattered clouds
152,Souillac,MU,-20.5167,57.5167,80.98,83,40,4.61,scattered clouds
153,New Norfolk,AU,-42.7826,147.0587,58.91,81,2,2.46,clear sky
154,Pisco,PE,-13.7,-76.2167,74.01,60,0,6.91,clear sky
155,Posadas,AR,-27.3671,-55.8961,73.38,68,0,13.8,clear sky
156,Portoferraio,IT,42.8115,10.3146,65.68,30,40,2.3,scattered clouds
157,Ponnani,IN,10.767,75.9252,83.52,77,21,4.03,few clouds
158,Monmouth,US,40.3001,-74.1663,53.69,71,100,8.05,overcast clouds
159,Lagoa,PT,39.05,-27.9833,58.21,91,100,6.78,overcast clouds
160,Beringovskiy,RU,63.05,179.3167,-0.8,100,88,2.86,overcast clouds
161,North Bend,US,43.4065,-124.2243,53.17,91,100,3.44,overcast clouds
162,Yarada,IN,17.65,83.2667,84.52,79,20,6.91,mist
163,Baruun-Urt,MN,46.6806,113.2792,21.78,38,91,7.76,overcast clouds
164,Thompson,CA,55.7435,-97.8558,-9.24,59,0,11.5,clear sky
165,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,4.61,light snow
166,Vaini,TO,-21.2,-175.2,73.56,88,20,5.75,few clouds
167,Sondrio,IT,46.169,9.8692,66.07,42,16,1.39,few clouds
168,Lasa,IT,46.6166,10.7002,60.37,62,22,1.23,few clouds
169,Winnemucca,US,40.973,-117.7357,51.85,43,0,0.0,clear sky
170,Namibe,AO,-15.1961,12.1522,77.2,66,13,15.52,few clouds
171,Fortuna,US,40.5982,-124.1573,52.93,92,0,8.05,clear sky
172,Kahului,US,20.8947,-156.47,70.84,91,75,12.66,moderate rain
173,Upernavik,GL,72.7868,-56.1549,8.49,90,100,3.06,overcast clouds
174,Muroran,JP,42.3172,140.9881,40.62,99,100,4.12,overcast clouds
175,Mehamn,NO,71.0357,27.8492,23.76,63,100,26.69,light snow
176,Itea,GR,38.4333,22.4167,64.0,54,1,3.22,clear sky
177,Sioux Lookout,CA,50.1001,-91.917,5.07,66,75,20.71,broken clouds
178,Ostrovnoy,RU,68.0531,39.5131,22.08,62,100,18.5,light snow
179,Havoysund,NO,70.9963,24.6622,26.83,58,100,20.8,light snow
180,Fuzhou,CN,26.0614,119.3061,57.09,92,100,3.71,overcast clouds
181,Sal Rei,CV,16.1833,-22.9167,73.6,60,20,11.5,few clouds
182,Wagar,SD,16.1525,36.2032,82.08,26,0,19.39,clear sky
183,Ketchikan,US,55.3422,-131.6461,39.67,93,75,11.5,broken clouds
184,Yellowknife,CA,62.456,-114.3525,-10.68,60,75,11.99,broken clouds
185,Nalut,LY,30.3333,10.85,81.59,9,69,24.79,broken clouds
186,Terra Santa,BR,-2.1042,-56.4869,83.25,81,58,5.06,broken clouds
187,Sherpur,BD,25.0188,90.0175,75.15,40,3,12.26,clear sky
188,Castro,BR,-24.7911,-50.0119,74.21,74,95,9.62,overcast clouds
189,Blind River,CA,46.1834,-82.9582,33.91,76,100,12.15,overcast clouds
190,Buraydah,SA,26.326,43.975,66.65,20,0,9.86,clear sky
191,Plettenberg Bay,ZA,-34.0527,23.3716,65.97,78,38,13.76,scattered clouds
192,Port Hardy,CA,50.6996,-127.4199,42.98,100,100,2.3,light rain
193,Atbasar,KZ,51.8,68.3333,20.43,87,100,18.41,overcast clouds
194,Irbeyskoye,RU,55.6428,95.4522,24.96,74,77,18.03,broken clouds
195,Abay,KZ,49.6311,72.8539,32.38,90,100,14.83,overcast clouds
196,Paamiut,GL,61.994,-49.6678,28.17,67,29,14.05,scattered clouds
197,Sola,VU,-13.8833,167.55,82.0,75,100,10.2,overcast clouds
198,Padang,ID,-0.9492,100.3543,76.23,74,6,4.14,clear sky
199,Rundu,NA,-17.9333,19.7667,80.01,49,64,4.63,broken clouds
200,Craig,US,40.5153,-107.5464,49.62,57,0,3.44,clear sky
201,Juybar,IR,36.6412,52.9124,53.69,80,74,7.25,broken clouds
202,Katsuura,JP,35.1333,140.3,64.6,94,100,35.97,overcast clouds
203,Asau,RO,46.4333,26.4,58.28,58,4,12.82,clear sky
204,Garmsar,IR,35.2182,52.3409,57.45,23,1,10.47,clear sky
205,Lavrentiya,RU,65.5833,-171.0,-2.36,100,96,3.76,overcast clouds
206,Denpasar,ID,-8.65,115.2167,82.06,88,40,5.75,scattered clouds
207,Saint-Augustin,CA,51.226,-58.6502,32.43,100,100,23.58,snow
208,Kyrksaeterora,NO,63.2906,9.0891,37.67,68,100,3.56,light rain
209,Pangai,TO,-19.8,-174.35,79.47,79,61,12.55,light rain
210,Salym,RU,60.0625,71.4789,14.47,92,19,7.63,few clouds
211,Wamba,NG,8.9333,8.6,103.5,9,24,11.83,few clouds
212,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,81.84,91,100,2.86,overcast clouds
213,Poopo,BO,-18.3667,-66.9667,56.17,44,16,5.99,few clouds
214,Haines Junction,CA,60.7522,-137.5108,13.95,85,100,1.14,overcast clouds
215,Alofi,NU,-19.0595,-169.9187,78.69,89,100,9.22,overcast clouds
216,Lebanon,US,36.2081,-86.2911,55.45,31,0,11.5,clear sky
217,Hasaki,JP,35.7333,140.8333,64.8,91,100,39.35,overcast clouds
218,Baykit,RU,61.67,96.37,23.88,97,100,1.39,snow
219,Batemans Bay,AU,-35.7167,150.1833,64.09,93,59,4.09,broken clouds
220,Arraial Do Cabo,BR,-22.9661,-42.0278,93.16,62,0,12.66,clear sky
